"","Response","Context","Subject","Item","Rater","ContextIPA"
"508","2","3--3","p05","3oo3-w","R01","<U+0295>-<U+0295>"
"509","1","isolation","p05","3oo3-v","R01","Isolation"
"510","2","o-7","p05","loo7-w","R01","o-h"
"511","3","o-3","p05","bii3-w","R01","o-<U+0295>"
"512","1","isolation","p05","bii3-v","R01","Isolation"
"513","2","o-7","p05","zii7-w","R01","o-h"
"514","4","n-n","p05","noom-w","R01","n-n"
"515","5","n-n","p05","muun-w","R01","n-n"
"516","5","n-o","p05","muus-w","R01","n-o"
"517","4","n-o","p05","mooz-w","R01","n-o"
"518","3","7-o","p05","7ook-w","R01","h-o"
"519","1","7-n","p05","7oom-w","R01","h-n"
"520","2","3-o","p05","3aaf-w","R01","<U+0295>-o"
"521","5","n-7","p05","naa7-w","R01","n-h"
"522","2","isolation","p05","naa7-v","R01","Isolation"
"523","5","n-n","p05","naam-w","R01","n-n"
"524","3","isolation","p05","naam-v","R01","Isolation"
"525","4","o-n","p05","doom-w","R01","o-n"
"526","2","isolation","p05","doom-v","R01","Isolation"
"527","5","3-n","p05","3oon-w","R01","<U+0295>-n"
"528","1","3-o","p05","3eeb-w","R01","<U+0295>-o"
"529","2","isolation","p05","3eeb-v","R01","Isolation"
"530","5","o-n","p05","saam-w","R01","o-n"
"531","3","isolation","p05","saam-v","R01","Isolation"
"532","5","3-n","p05","3aam-w","R01","<U+0295>-n"
"533","2","7-o","p05","7aad-w","R01","h-o"
"534","5","3-n","p05","3een-w","R01","<U+0295>-n"
"535","2","3-o","p05","3iish-w","R01","<U+0295>-o"
"536","2","7-o","p05","7eef-w","R01","h-o"
"537","1","isolation","p05","7eef-v","R01","Isolation"
"538","2","o-3","p05","baa3-w","R01","o-<U+0295>"
"539","2","o-o","p05","beet-w","R01","o-o"
"540","1","o-o","p05","boosh-w","R01","o-o"
"541","5","n-3","p02","noo3-w","R01","n-<U+0295>"
"542","3","isolation","p02","noo3-v","R01","Isolation"
"543","2","o-o","p02","daas-w","R01","o-o"
"544","5","n-o","p02","maat-w","R01","n-o"
"545","1","isolation","p02","maat-v","R01","Isolation"
"546","5","7-n","p02","7en-w","R01","h-n"
"547","5","o-n","p02","diin-w","R01","o-n"
"548","2","o-7","p02","zaa7-w","R01","o-h"
"549","4","o-3","p02","djuu3-w","R01","o-<U+0295>"
"550","3","isolation","p02","djuu3-v","R01","Isolation"
"551","5","n-7","p02","nuu7-w","R01","n-h"
"552","3","isolation","p02","nuu7-v","R01","Isolation"
"553","3","3--3","p02","3oo3-w","R01","<U+0295>-<U+0295>"
"554","1","isolation","p02","3oo3-v","R01","Isolation"
"555","2","o-7","p02","loo7-w","R01","o-h"
"556","2","o-3","p02","bii3-w","R01","o-<U+0295>"
"557","2","isolation","p02","bii3-v","R01","Isolation"
"558","3","o-7","p02","zii7-w","R01","o-h"
"559","5","n-o","p02","muus-w","R01","n-o"
"560","3","n-o","p02","mooz-w","R01","n-o"
"561","1","7-o","p02","7ook-w","R01","h-o"
"562","4","7-n","p02","7oom-w","R01","h-n"
"563","4","n-7","p02","naa7-w","R01","n-h"
"564","5","3-o","p02","3aaf-w","R01","<U+0295>-o"
"565","3","isolation","p02","naa7-v","R01","Isolation"
"566","5","n-n","p02","naam-w","R01","n-n"
"567","2","isolation","p02","naam-v","R01","Isolation"
"568","4","o-n","p02","doom-w","R01","o-n"
"569","1","isolation","p02","doom-v","R01","Isolation"
"570","5","3-n","p02","3oon-w","R01","<U+0295>-n"
"571","4","n-n","p02","noom-w","R01","n-n"
"572","5","n-n","p02","muun-w","R01","n-n"
"573","2","3-o","p02","3eeb-w","R01","<U+0295>-o"
"574","5","o-n","p02","saam-w","R01","o-n"
"575","4","isolation","p02","saam-v","R01","Isolation"
"576","3","isolation","p02","3eeb-v","R01","Isolation"
"577","5","3-n","p02","3aam-w","R01","<U+0295>-n"
"578","5","7-o","p02","7aad-w","R01","h-o"
"579","5","3-n","p02","3een-w","R01","<U+0295>-n"
"580","3","3-o","p02","3iish-w","R01","<U+0295>-o"
"581","4","7-o","p02","7eef-w","R01","h-o"
"582","5","isolation","p02","7eef-v","R01","Isolation"
"583","2","o-3","p02","baa3-w","R01","o-<U+0295>"
"584","1","o-o","p02","beet-w","R01","o-o"
"585","2","o-o","p02","boosh-w","R01","o-o"
"586","5","n-3","p03","noo3-w","R01","n-<U+0295>"
"587","3","isolation","p03","noo3-v","R01","Isolation"
"588","2","o-o","p03","daas-w","R01","o-o"
"589","4","n-o","p03","maat-w","R01","n-o"
"590","4","isolation","p03","maat-v","R01","Isolation"
"591","3","7-n","p03","7en-w","R01","h-n"
"592","3","o-n","p03","diin-w","R01","o-n"
"593","1","o-7","p03","zaa7-w","R01","o-h"
"594","3","o-3","p03","djuu3-w","R01","o-<U+0295>"
"595","3","isolation","p03","djuu3-v","R01","Isolation"
"596","5","n-7","p03","nuu7-w","R01","n-h"
"597","3","isolation","p03","nuu7-v","R01","Isolation"
"598","2","3--3","p03","3oo3-w","R01","<U+0295>-<U+0295>"
"599","3","isolation","p03","3oo3-v","R01","Isolation"
"600","1","o-7","p03","loo7-w","R01","o-h"
"601","3","o-3","p03","bii3-w","R01","o-<U+0295>"
"602","4","isolation","p03","bii3-v","R01","Isolation"
"603","2","o-7","p03","zii7-w","R01","o-h"
"604","5","n-n","p03","muun-w","R01","n-n"
"605","5","n-o","p03","muus-w","R01","n-o"
"606","4","n-o","p03","mooz-w","R01","n-o"
"607","2","7-o","p03","7ook-w","R01","h-o"
"608","5","7-n","p03","7oom-w","R01","h-n"
"609","2","3-o","p03","3aaf-w","R01","<U+0295>-o"
"610","2","n-7","p03","naa7-w","R01","n-h"
"611","2","isolation","p03","naa7-v","R01","Isolation"
"612","2","n-n","p03","naam-w","R01","n-n"
"613","1","isolation","p03","naam-v","R01","Isolation"
"614","4","o-n","p03","doom-w","R01","o-n"
"615","3","isolation","p03","doom-v","R01","Isolation"
"616","5","3-n","p03","3oon-w","R01","<U+0295>-n"
"617","5","n-n","p03","noom-w","R01","n-n"
"618","4","3-o","p03","3eeb-w","R01","<U+0295>-o"
"619","3","isolation","p03","3eeb-v","R01","Isolation"
"620","5","3-n","p03","3aam-w","R01","<U+0295>-n"
"621","2","7-o","p03","7aad-w","R01","h-o"
"622","5","3-n","p03","3een-w","R01","<U+0295>-n"
"623","2","3-o","p03","3iish-w","R01","<U+0295>-o"
"624","1","7-o","p03","7eef-w","R01","h-o"
"625","3","isolation","p03","7eef-v","R01","Isolation"
"626","4","o-n","p03","saam-w","R01","o-n"
"627","3","isolation","p03","saam-v","R01","Isolation"
"628","2","o-3","p03","baa3-w","R01","o-<U+0295>"
"629","2","o-o","p03","beet-w","R01","o-o"
"630","2","o-o","p03","boosh-w","R01","o-o"
"631","4","n-3","p06","noo3-w","R01","n-<U+0295>"
"632","2","isolation","p06","noo3-v","R01","Isolation"
"633","2","o-o","p06","daas-w","R01","o-o"
"634","4","n-o","p06","maat-w","R01","n-o"
"635","3","isolation","p06","maat-v","R01","Isolation"
"636","5","7-n","p06","7en-w","R01","h-n"
"637","4","o-n","p06","diin-w","R01","o-n"
"638","1","o-7","p06","zaa7-w","R01","o-h"
"639","3","o-3","p06","djuu3-w","R01","o-<U+0295>"
"640","3","isolation","p06","djuu3-v","R01","Isolation"
"641","4","n-7","p06","nuu7-w","R01","n-h"
"642","3","isolation","p06","nuu7-v","R01","Isolation"
"643","3","3--3","p06","3oo3-w","R01","<U+0295>-<U+0295>"
"644","3","isolation","p06","3oo3-v","R01","Isolation"
"645","2","o-7","p06","loo7-w","R01","o-h"
"646","2","o-3","p06","bii3-w","R01","o-<U+0295>"
"647","2","isolation","p06","bii3-v","R01","Isolation"
"648","1","o-7","p06","zii7-w","R01","o-h"
"649","3","n-n","p06","noom-w","R01","n-n"
"650","4","n-n","p06","muun-w","R01","n-n"
"651","4","n-o","p06","muus-w","R01","n-o"
"652","3","n-o","p06","mooz-w","R01","n-o"
"653","4","7-o","p06","7ook-w","R01","h-o"
"654","4","7-n","p06","7oom-w","R01","h-n"
"655","3","3-o","p06","3aaf-w","R01","<U+0295>-o"
"656","2","n-7","p06","naa7-w","R01","n-h"
"657","2","isolation","p06","naa7-v","R01","Isolation"
"658","4","n-n","p06","naam-w","R01","n-n"
"659","1","isolation","p06","naam-v","R01","Isolation"
"660","4","o-n","p06","doom-w","R01","o-n"
"661","2","isolation","p06","doom-v","R01","Isolation"
"662","5","3-n","p06","3oon-w","R01","<U+0295>-n"
"663","1","3-o","p06","3eeb-w","R01","<U+0295>-o"
"664","2","isolation","p06","3eeb-v","R01","Isolation"
"665","5","3-n","p06","3aam-w","R01","<U+0295>-n"
"666","2","7-o","p06","7aad-w","R01","h-o"
"667","4","3-n","p06","3een-w","R01","<U+0295>-n"
"668","2","3-o","p06","3iish-w","R01","<U+0295>-o"
"669","1","7-o","p06","7eef-w","R01","h-o"
"670","2","isolation","p06","7eef-v","R01","Isolation"
"671","4","o-n","p06","saam-w","R01","o-n"
"672","2","isolation","p06","saam-v","R01","Isolation"
"673","1","o-3","p06","baa3-w","R01","o-<U+0295>"
"674","1","o-o","p06","beet-w","R01","o-o"
"675","4","o-o","p06","boosh-w","R01","o-o"
"676","4","n-3","p07","noo3-w","R01","n-<U+0295>"
"677","1","isolation","p07","noo3-v","R01","Isolation"
"678","1","o-3","p07","djuu3-w","R01","o-<U+0295>"
"679","2","isolation","p07","djuu3-v","R01","Isolation"
"680","3","n-7","p07","nuu7-w","R01","n-h"
"681","2","isolation","p07","nuu7-v","R01","Isolation"
"682","2","3--3","p07","3oo3-w","R01","<U+0295>-<U+0295>"
"683","1","isolation","p07","3oo3-v","R01","Isolation"
"684","2","o-7","p07","loo7-w","R01","o-h"
"685","1","o-3","p07","bii3-w","R01","o-<U+0295>"
"686","2","isolation","p07","bii3-v","R01","Isolation"
"687","3","o-7","p07","zii7-w","R01","o-h"
"688","1","o-o","p07","daas-w","R01","o-o"
"689","4","n-o","p07","maat-w","R01","n-o"
"690","1","isolation","p07","maat-v","R01","Isolation"
"691","4","7-n","p07","7en-w","R01","h-n"
"692","5","o-n","p07","diin-w","R01","o-n"
"693","1","o-7","p07","zaa7-w","R01","o-h"
"694","1","n-7","p07","naa7-w","R01","n-h"
"695","2","isolation","p07","naa7-v","R01","Isolation"
"696","2","n-n","p07","naam-w","R01","n-n"
"697","2","isolation","p07","naam-v","R01","Isolation"
"698","4","o-n","p07","doom-w","R01","o-n"
"699","1","isolation","p07","doom-v","R01","Isolation"
"700","1","3-n","p07","3oon-w","R01","<U+0295>-n"
"701","5","n-n","p07","noom-w","R01","n-n"
"702","5","n-n","p07","muun-w","R01","n-n"
"703","5","n-o","p07","muus-w","R01","n-o"
"704","5","n-o","p07","mooz-w","R01","n-o"
"705","5","7-o","p07","7ook-w","R01","h-o"
"706","5","7-n","p07","7oom-w","R01","h-n"
"707","1","3-o","p07","3aaf-w","R01","<U+0295>-o"
"708","3","3-o","p07","3eeb-w","R01","<U+0295>-o"
"709","1","isolation","p07","3eeb-v","R01","Isolation"
"710","4","o-n","p07","saam-w","R01","o-n"
"711","1","isolation","p07","saam-v","R01","Isolation"
"712","5","3-n","p07","3aam-w","R01","<U+0295>-n"
"713","1","7-o","p07","7aad-w","R01","h-o"
"714","5","3-n","p07","3een-w","R01","<U+0295>-n"
"715","2","3-o","p07","3iish-w","R01","<U+0295>-o"
"716","2","7-o","p07","7eef-w","R01","h-o"
"717","2","isolation","p07","7eef-v","R01","Isolation"
"718","1","o-3","p07","baa3-w","R01","o-<U+0295>"
"719","3","o-o","p07","beet-w","R01","o-o"
"720","4","o-o","p07","boosh-w","R01","o-o"
"721","5","n-3","p08","noo3-w","R01","n-<U+0295>"
"722","2","isolation","p08","noo3-v","R01","Isolation"
"723","4","o-o","p08","daas-w","R01","o-o"
"724","5","n-o","p08","maat-w","R01","n-o"
"725","2","isolation","p08","maat-v","R01","Isolation"
"726","4","7-n","p08","7en-w","R01","h-n"
"727","5","o-n","p08","diin-w","R01","o-n"
"728","4","o-3","p08","djuu3-w","R01","o-<U+0295>"
"729","1","isolation","p08","djuu3-v","R01","Isolation"
"730","5","n-7","p08","nuu7-w","R01","n-h"
"731","3","isolation","p08","nuu7-v","R01","Isolation"
"732","3","3--3","p08","3oo3-w","R01","<U+0295>-<U+0295>"
"733","3","isolation","p08","3oo3-v","R01","Isolation"
"734","2","o-7","p08","loo7-w","R01","o-h"
"735","1","o-3","p08","bii3-w","R01","o-<U+0295>"
"736","4","isolation","p08","bii3-v","R01","Isolation"
"737","3","o-7","p08","zii7-w","R01","o-h"
"738","2","o-7","p08","zaa7-w","R01","o-h"
"739","4","o-n","p08","doom-w","R01","o-n"
"740","1","isolation","p08","doom-v","R01","Isolation"
"741","5","3-n","p08","3oon-w","R01","<U+0295>-n"
"742","5","n-n","p08","noom-w","R01","n-n"
"743","5","n-n","p08","muun-w","R01","n-n"
"744","5","n-o","p08","muus-w","R01","n-o"
"745","5","n-o","p08","mooz-w","R01","n-o"
"746","3","7-o","p08","7ook-w","R01","h-o"
"747","5","7-n","p08","7oom-w","R01","h-n"
"748","2","3-o","p08","3aaf-w","R01","<U+0295>-o"
"749","5","n-7","p08","naa7-w","R01","n-h"
"750","3","isolation","p08","naa7-v","R01","Isolation"
"751","5","n-n","p08","naam-w","R01","n-n"
"752","3","isolation","p08","naam-v","R01","Isolation"
"753","2","3-o","p08","3eeb-w","R01","<U+0295>-o"
"754","2","isolation","p08","3eeb-v","R01","Isolation"
"755","5","o-n","p08","saam-w","R01","o-n"
"756","3","isolation","p08","saam-v","R01","Isolation"
"757","5","3-n","p08","3aam-w","R01","<U+0295>-n"
"758","5","7-o","p08","7aad-w","R01","h-o"
"759","4","3-n","p08","3een-w","R01","<U+0295>-n"
"760","3","3-o","p08","3iish-w","R01","<U+0295>-o"
"761","2","7-o","p08","7eef-w","R01","h-o"
"762","2","isolation","p08","7eef-v","R01","Isolation"
"763","3","o-3","p08","baa3-w","R01","o-<U+0295>"
"764","1","o-o","p08","beet-w","R01","o-o"
"765","2","o-o","p08","boosh-w","R01","o-o"
"766","3","n-3","p09","noo3-w","R01","n-<U+0295>"
"767","1","isolation","p09","noo3-v","R01","Isolation"
"768","4","o-o","p09","daas-w","R01","o-o"
"769","5","n-o","p09","maat-w","R01","n-o"
"770","4","isolation","p09","maat-v","R01","Isolation"
"771","4","7-n","p09","7en-w","R01","h-n"
"772","5","o-n","p09","diin-w","R01","o-n"
"773","3","o-7","p09","zaa7-w","R01","o-h"
"774","3","o-3","p09","djuu3-w","R01","o-<U+0295>"
"775","2","isolation","p09","djuu3-v","R01","Isolation"
"776","4","n-7","p09","nuu7-w","R01","n-h"
"777","4","isolation","p09","nuu7-v","R01","Isolation"
"778","2","3--3","p09","3oo3-w","R01","<U+0295>-<U+0295>"
"779","2","isolation","p09","3oo3-v","R01","Isolation"
"780","2","o-7","p09","loo7-w","R01","o-h"
"781","2","o-3","p09","bii3-w","R01","o-<U+0295>"
"782","2","isolation","p09","bii3-v","R01","Isolation"
"783","2","o-7","p09","zii7-w","R01","o-h"
"784","4","n-n","p09","noom-w","R01","n-n"
"785","4","n-n","p09","muun-w","R01","n-n"
"786","4","n-o","p09","muus-w","R01","n-o"
"787","4","n-o","p09","mooz-w","R01","n-o"
"788","2","7-o","p09","7ook-w","R01","h-o"
"789","4","7-n","p09","7oom-w","R01","h-n"
"790","2","3-o","p09","3aaf-w","R01","<U+0295>-o"
"791","4","n-7","p09","naa7-w","R01","n-h"
"792","2","isolation","p09","naa7-v","R01","Isolation"
"793","4","n-n","p09","naam-w","R01","n-n"
"794","1","isolation","p09","naam-v","R01","Isolation"
"795","5","o-n","p09","doom-w","R01","o-n"
"796","1","isolation","p09","doom-v","R01","Isolation"
"797","5","3-n","p09","3oon-w","R01","<U+0295>-n"
"798","1","3-o","p09","3eeb-w","R01","<U+0295>-o"
"799","1","isolation","p09","3eeb-v","R01","Isolation"
"800","5","o-n","p09","saam-w","R01","o-n"
"801","3","isolation","p09","saam-v","R01","Isolation"
"802","4","3-n","p09","3aam-w","R01","<U+0295>-n"
"803","2","7-o","p09","7aad-w","R01","h-o"
"804","4","3-n","p09","3een-w","R01","<U+0295>-n"
"805","2","3-o","p09","3iish-w","R01","<U+0295>-o"
"806","4","7-o","p09","7eef-w","R01","h-o"
"807","2","isolation","p09","7eef-v","R01","Isolation"
"808","1","o-3","p09","baa3-w","R01","o-<U+0295>"
"809","2","o-o","p09","beet-w","R01","o-o"
"810","2","o-o","p09","boosh-w","R01","o-o"
"811","4","n-3","p04","noo3-w","R03","n-<U+0295>"
"812","2","isolation","p04","noo3-v","R03","Isolation"
"813","1","o-3","p04","djuu3-w","R03","o-<U+0295>"
"814","5","isolation","p04","djuu3-v","R03","Isolation"
"815","4","n-7","p04","nuu7-w","R03","n-h"
"816","4","isolation","p04","nuu7-v","R03","Isolation"
"817","1","3--3","p04","3oo3-w","R03","<U+0295>-<U+0295>"
"818","1","isolation","p04","3oo3-v","R03","Isolation"
"819","1","o-7","p04","loo7-w","R03","o-h"
"820","1","o-3","p04","bii3-w","R03","o-<U+0295>"
"821","1","isolation","p04","bii3-v","R03","Isolation"
"822","1","o-7","p04","zii7-w","R03","o-h"
"823","5","o-o","p04","daas-w","R03","o-o"
"824","5","n-o","p04","maat-w","R03","n-o"
"825","4","isolation","p04","maat-v","R03","Isolation"
"826","3","7-n","p04","7en-w","R03","h-n"
"827","5","o-n","p04","diin-w","R03","o-n"
"828","1","o-7","p04","zaa7-w","R03","o-h"
"829","1","n-7","p04","naa7-w","R03","n-h"
"830","2","isolation","p04","naa7-v","R03","Isolation"
"831","4","n-n","p04","naam-w","R03","n-n"
"832","3","isolation","p04","naam-v","R03","Isolation"
"833","4","o-n","p04","doom-w","R03","o-n"
"834","2","isolation","p04","doom-v","R03","Isolation"
"835","1","3-n","p04","3oon-w","R03","<U+0295>-n"
"836","5","n-n","p04","noom-w","R03","n-n"
"837","1","n-n","p04","muun-w","R03","n-n"
"838","5","n-o","p04","muus-w","R03","n-o"
"839","5","n-o","p04","mooz-w","R03","n-o"
"840","1","7-o","p04","7ook-w","R03","h-o"
"841","5","7-n","p04","7oom-w","R03","h-n"
"842","1","3-o","p04","3aaf-w","R03","<U+0295>-o"
"843","1","3-o","p04","3eeb-w","R03","<U+0295>-o"
"844","4","isolation","p04","3eeb-v","R03","Isolation"
"845","5","3-n","p04","3aam-w","R03","<U+0295>-n"
"846","5","7-o","p04","7aad-w","R03","h-o"
"847","4","3-n","p04","3een-w","R03","<U+0295>-n"
"848","5","3-o","p04","3iish-w","R03","<U+0295>-o"
"849","1","7-o","p04","7eef-w","R03","h-o"
"850","4","isolation","p04","7eef-v","R03","Isolation"
"851","4","o-n","p04","saam-w","R03","o-n"
"852","5","isolation","p04","saam-v","R03","Isolation"
"853","1","o-3","p04","baa3-w","R03","o-<U+0295>"
"854","1","o-o","p04","beet-w","R03","o-o"
"855","4","o-o","p04","boosh-w","R03","o-o"
"856","5","n-3","p01","noo3-w","R03","n-<U+0295>"
"857","1","isolation","p01","noo3-v","R03","Isolation"
"858","1","o-o","p01","daas-w","R03","o-o"
"859","4","n-o","p01","maat-w","R03","n-o"
"860","1","isolation","p01","maat-v","R03","Isolation"
"861","4","7-n","p01","7en-w","R03","h-n"
"862","1","o-n","p01","diin-w","R03","o-n"
"863","1","o-7","p01","zaa7-w","R03","o-h"
"864","1","o-3","p01","djuu3-w","R03","o-<U+0295>"
"865","1","isolation","p01","djuu3-v","R03","Isolation"
"866","5","n-7","p01","nuu7-w","R03","n-h"
"867","1","isolation","p01","nuu7-v","R03","Isolation"
"868","1","3--3","p01","3oo3-w","R03","<U+0295>-<U+0295>"
"869","1","isolation","p01","3oo3-v","R03","Isolation"
"870","1","o-7","p01","loo7-w","R03","o-h"
"871","1","o-3","p01","bii3-w","R03","o-<U+0295>"
"872","1","isolation","p01","bii3-v","R03","Isolation"
"873","1","o-7","p01","zii7-w","R03","o-h"
"874","1","3-n","p01","3oon-w","R03","<U+0295>-n"
"875","4","n-n","p01","noom-w","R03","n-n"
"876","5","n-n","p01","muun-w","R03","n-n"
"877","5","n-o","p01","muus-w","R03","n-o"
"878","4","n-o","p01","mooz-w","R03","n-o"
"879","1","7-o","p01","7ook-w","R03","h-o"
"880","1","7-n","p01","7oom-w","R03","h-n"
"881","1","3-o","p01","3aaf-w","R03","<U+0295>-o"
"882","4","n-7","p01","naa7-w","R03","n-h"
"883","1","isolation","p01","naa7-v","R03","Isolation"
"884","4","n-n","p01","naam-w","R03","n-n"
"885","1","isolation","p01","naam-v","R03","Isolation"
"886","1","o-n","p01","doom-w","R03","o-n"
"887","1","isolation","p01","doom-v","R03","Isolation"
"888","1","3-o","p01","3eeb-w","R03","<U+0295>-o"
"889","1","isolation","p01","3eeb-v","R03","Isolation"
"890","4","3-n","p01","3aam-w","R03","<U+0295>-n"
"891","1","7-o","p01","7aad-w","R03","h-o"
"892","2","3-n","p01","3een-w","R03","<U+0295>-n"
"893","1","3-o","p01","3iish-w","R03","<U+0295>-o"
"894","1","7-o","p01","7eef-w","R03","h-o"
"895","1","isolation","p01","7eef-v","R03","Isolation"
"896","1","o-n","p01","saam-w","R03","o-n"
"897","1","isolation","p01","saam-v","R03","Isolation"
"898","1","o-3","p01","baa3-w","R03","o-<U+0295>"
"899","1","o-o","p01","beet-w","R03","o-o"
"900","1","o-o","p01","boosh-w","R03","o-o"
"901","5","n-3","p05","noo3-w","R03","n-<U+0295>"
"902","1","isolation","p05","noo3-v","R03","Isolation"
"903","1","o-o","p05","daas-w","R03","o-o"
"904","4","n-o","p05","maat-w","R03","n-o"
"905","1","isolation","p05","maat-v","R03","Isolation"
"906","4","7-n","p05","7en-w","R03","h-n"
"907","1","o-n","p05","diin-w","R03","o-n"
"908","2","o-7","p05","zaa7-w","R03","o-h"
"909","1","o-3","p05","djuu3-w","R03","o-<U+0295>"
"910","1","isolation","p05","djuu3-v","R03","Isolation"
"911","4","n-7","p05","nuu7-w","R03","n-h"
"912","1","isolation","p05","nuu7-v","R03","Isolation"
"913","1","3--3","p05","3oo3-w","R03","<U+0295>-<U+0295>"
"914","1","isolation","p05","3oo3-v","R03","Isolation"
"915","1","o-7","p05","loo7-w","R03","o-h"
"916","4","o-3","p05","bii3-w","R03","o-<U+0295>"
"917","1","isolation","p05","bii3-v","R03","Isolation"
"918","2","o-7","p05","zii7-w","R03","o-h"
"919","5","n-n","p05","noom-w","R03","n-n"
"920","5","n-n","p05","muun-w","R03","n-n"
"921","5","n-o","p05","muus-w","R03","n-o"
"922","4","n-o","p05","mooz-w","R03","n-o"
"923","1","7-o","p05","7ook-w","R03","h-o"
"924","1","7-n","p05","7oom-w","R03","h-n"
"925","1","3-o","p05","3aaf-w","R03","<U+0295>-o"
"926","5","n-7","p05","naa7-w","R03","n-h"
"927","1","isolation","p05","naa7-v","R03","Isolation"
"928","4","n-n","p05","naam-w","R03","n-n"
"929","1","isolation","p05","naam-v","R03","Isolation"
"930","4","o-n","p05","doom-w","R03","o-n"
"931","1","isolation","p05","doom-v","R03","Isolation"
"932","4","3-n","p05","3oon-w","R03","<U+0295>-n"
"933","1","3-o","p05","3eeb-w","R03","<U+0295>-o"
"934","1","isolation","p05","3eeb-v","R03","Isolation"
"935","4","o-n","p05","saam-w","R03","o-n"
"936","1","isolation","p05","saam-v","R03","Isolation"
"937","5","3-n","p05","3aam-w","R03","<U+0295>-n"
"938","1","7-o","p05","7aad-w","R03","h-o"
"939","5","3-n","p05","3een-w","R03","<U+0295>-n"
"940","1","3-o","p05","3iish-w","R03","<U+0295>-o"
"941","1","7-o","p05","7eef-w","R03","h-o"
"942","1","isolation","p05","7eef-v","R03","Isolation"
"943","1","o-3","p05","baa3-w","R03","o-<U+0295>"
"944","4","o-o","p05","beet-w","R03","o-o"
"945","1","o-o","p05","boosh-w","R03","o-o"
"946","4","n-3","p02","noo3-w","R03","n-<U+0295>"
"947","3","isolation","p02","noo3-v","R03","Isolation"
"948","2","o-o","p02","daas-w","R03","o-o"
"949","4","n-o","p02","maat-w","R03","n-o"
"950","1","isolation","p02","maat-v","R03","Isolation"
"951","4","7-n","p02","7en-w","R03","h-n"
"952","5","o-n","p02","diin-w","R03","o-n"
"953","1","o-7","p02","zaa7-w","R03","o-h"
"954","1","o-3","p02","djuu3-w","R03","o-<U+0295>"
"955","1","isolation","p02","djuu3-v","R03","Isolation"
"956","5","n-7","p02","nuu7-w","R03","n-h"
"957","4","isolation","p02","nuu7-v","R03","Isolation"
"958","1","3--3","p02","3oo3-w","R03","<U+0295>-<U+0295>"
"959","1","isolation","p02","3oo3-v","R03","Isolation"
"960","1","o-7","p02","loo7-w","R03","o-h"
"961","1","o-3","p02","bii3-w","R03","o-<U+0295>"
"962","1","isolation","p02","bii3-v","R03","Isolation"
"963","1","o-7","p02","zii7-w","R03","o-h"
"964","5","n-o","p02","muus-w","R03","n-o"
"965","5","n-o","p02","mooz-w","R03","n-o"
"966","2","7-o","p02","7ook-w","R03","h-o"
"967","4","7-n","p02","7oom-w","R03","h-n"
"968","4","n-7","p02","naa7-w","R03","n-h"
"969","1","3-o","p02","3aaf-w","R03","<U+0295>-o"
"970","4","isolation","p02","naa7-v","R03","Isolation"
"971","4","n-n","p02","naam-w","R03","n-n"
"972","1","isolation","p02","naam-v","R03","Isolation"
"973","4","o-n","p02","doom-w","R03","o-n"
"974","1","isolation","p02","doom-v","R03","Isolation"
"975","4","3-n","p02","3oon-w","R03","<U+0295>-n"
"976","4","n-n","p02","noom-w","R03","n-n"
"977","5","n-n","p02","muun-w","R03","n-n"
"978","1","3-o","p02","3eeb-w","R03","<U+0295>-o"
"979","5","o-n","p02","saam-w","R03","o-n"
"980","4","isolation","p02","saam-v","R03","Isolation"
"981","1","isolation","p02","3eeb-v","R03","Isolation"
"982","4","3-n","p02","3aam-w","R03","<U+0295>-n"
"983","4","7-o","p02","7aad-w","R03","h-o"
"984","4","3-n","p02","3een-w","R03","<U+0295>-n"
"985","2","3-o","p02","3iish-w","R03","<U+0295>-o"
"986","2","7-o","p02","7eef-w","R03","h-o"
"987","4","isolation","p02","7eef-v","R03","Isolation"
"988","1","o-3","p02","baa3-w","R03","o-<U+0295>"
"989","1","o-o","p02","beet-w","R03","o-o"
"990","2","o-o","p02","boosh-w","R03","o-o"
"991","5","n-3","p03","noo3-w","R03","n-<U+0295>"
"992","1","isolation","p03","noo3-v","R03","Isolation"
"993","1","o-o","p03","daas-w","R03","o-o"
"994","4","n-o","p03","maat-w","R03","n-o"
"995","1","isolation","p03","maat-v","R03","Isolation"
"996","1","7-n","p03","7en-w","R03","h-n"
"997","5","o-n","p03","diin-w","R03","o-n"
"998","1","o-7","p03","zaa7-w","R03","o-h"
"999","1","o-3","p03","djuu3-w","R03","o-<U+0295>"
"1000","1","isolation","p03","djuu3-v","R03","Isolation"
"1001","4","n-7","p03","nuu7-w","R03","n-h"
"1002","1","isolation","p03","nuu7-v","R03","Isolation"
"1003","1","3--3","p03","3oo3-w","R03","<U+0295>-<U+0295>"
"1004","1","isolation","p03","3oo3-v","R03","Isolation"
"1005","1","o-7","p03","loo7-w","R03","o-h"
"1006","4","o-3","p03","bii3-w","R03","o-<U+0295>"
"1007","1","isolation","p03","bii3-v","R03","Isolation"
"1008","1","o-7","p03","zii7-w","R03","o-h"
"1009","5","n-n","p03","muun-w","R03","n-n"
"1010","5","n-o","p03","muus-w","R03","n-o"
"1011","5","n-o","p03","mooz-w","R03","n-o"
"1012","1","7-o","p03","7ook-w","R03","h-o"
"1013","4","7-n","p03","7oom-w","R03","h-n"
"1014","1","3-o","p03","3aaf-w","R03","<U+0295>-o"
"1015","1","n-7","p03","naa7-w","R03","n-h"
